country,Year,REVENUE,Guarantee fees receivable ,Interest receivable,Dividends receivable,Other,EXPENDITURE,Interest payable (2),Capital injections recorded as deficit-increasing (capital transfer),Other capital transfer (e.g. asset purchase),Calls on guarantees,Other,       of which net acquisition of NFA,Net revenue/cost for general government (A-B),Assets ,Loans,Debt securities ,Equity and investment funds shares/ units,Other assets of general government entities (5),Liabilities ,Loans,Debt securities (3),      of which indirect liabilities (9),Other liabilities of general government entities (5),Contingent liabilities,Liabilities and assets outside general government under guarantee (6),Securities issued under liquidity schemes (7),Special purpose entities (8),Other contingent liabilities
Belgium,2015,448.9,55.2,7.551107,371.7,14.448893,484.5,453.760913,0,0,0,30.739087,0,-35.6,19818.86887,22.93201169,151.25,17367.65843,2277.028428,14602.67203,292.71,12319.05957,12319.05957,1990.90246,31506.12,31506.12,0,0,0
Belgium,2016,519.4,18,9.103871,478.7,13.596129,724.8,439.985181,250,0,0,34.814819,0,-205.4,20480.26641,21.76474536,151.25,18217.56769,2089.683969,13963.93853,188.5786364,12371.52367,12371.52367,1403.836227,36713.21,36713.21,0,0,0
Belgium,2017,645,18.6,3.3,608.9,14.2,383.9,357.7,0,0,0,26.2,0,261.1,19650.9898,21.43658322,151.25,17450.29468,2028.00854,11783.11224,184.446,10667.70815,10667.70815,930.9580925,34766.29,34766.29,0,0,0
Belgium,2018,858.9,17.5,5.4,826.9,9.1,358.6,328.7,0,0,0,29.9,0,500.3,18316.79053,21.16829447,151.25,15831.87514,2312.497098,11385.44974,180.32,10270.76586,10270.76586,934.363882,33663.74,33663.74,0,0,0
Belgium,2019,791.2,17.2,7.1,759.9,7,337.1,311.5,0,0,0,25.6,0,454.1,17905.63298,21.41318356,0,17101.88218,782.33762,10536.45387,166.415,9759.165746,9759.165746,610.8731201,31118.24,31118.24,0,0,0
Bulgaria,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2014,15.781,0,15.781,0,0,606.0615,11.5615,594.5,0,0,0,0,-590.2805,1755.5,900,0,855.5,0,2350,1450,900,900,0,0,0,0,0,0
Bulgaria,2015,62.172,0,62.172,0,0,290.035,23.535,266.5,0,0,0,0,-227.863,1264.1,450,0,814.1,0,2125,1675,450,450,0,0,0,0,0,0
Bulgaria,2016,50.626,0,50.626,0,0,131.084,18.584,112.5,0,0,0,0,-80.458,701.6,0,0,701.6,0,530,530,0,0,0,0,0,0,0,0
Bulgaria,2017,15.213,0,15.213,0,0,12.184,5.584,6.6,0,0,0,0,3.029,695,0,0,695,0,500,500,0,0,0,0,0,0,0,0
Bulgaria,2018,40.35,0,14.75,0,25.6,5.395,5.395,0,0,0,0,0,34.955,720.6,0,0,720.6,0,500,500,0,0,0,0,0,0,0,0
Bulgaria,2019,87.62,0,14.52,0,73.1,5.395,5.395,0,0,0,0,0,82.225,375.494,0,0,375.494,0,0,0,0,0,0,0,0,0,0,0
Cyprus,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,2009,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2229,2229,0,0,0
Cyprus,2010,27,27,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2962,2962,0,0,0
Cyprus,2011,25,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2769,2769,0,0,0
Cyprus,2012,52,16,0,0,36,46,46,0,0,0,0,0,6,1796,0,0,1796,0,1889,0,1889,0,0,1000,1000,0,0,0
Cyprus,2013,14,14,0,0,0,98,98,0,0,0,0,0,-84,0,0,0,0,0,1987,0,1987,0,0,1000,1000,0,0,0
Cyprus,2014,14,14,0,0,0,1582.3,82.3,1500,0,0,0,0,-1568.3,498,0,0,498,0,3423.3,1500,1923.3,832,0,1000,1000,0,0,0
Cyprus,2015,14,14,0,0,0,259.4,84.4,175,0,0,0,0,-245.4,444,0,0,444,0,2407.4,1675,732.4,732.4,0,1000,1000,0,0,0
Cyprus,2016,3,3,0,0,0,84.4,84.4,0,0,0,0,0,-81.4,343,0,0,343,0,2491.8,1675,816.8,816.8,0,0,0,0,0,0
Cyprus,2017,0,0,0,0,0,84.4,84.4,0,0,0,0,0,-84.4,255,0,0,255,0,2209.2,1675,534.2,534.2,0,0,0,0,0,0
Cyprus,2018,42.5,0,31.9,0,10.6,1686.5,84.4,891.8,0,0,710.3,670.1,-1644,7575.8,0,0,0,7575.8,8790.9,1675,3333.1,618.6,3782.8,2219.7,2219.7,0,0,0
Cyprus,2019,131.7,21,82.1,0,28.6,471.5,-18.4,0,285,0,204.9,88.3,-339.8,7266.9,0,0,0,7266.9,7678,1675,2365.7,0,3637.3,2068,2068,0,0,0
Czechia,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,356
Czechia,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179,0,0,0,2179
Czechia,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,398
Czechia,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2008,1396.629191,51.726,882.6126775,0,462.2905131,4468.104794,789.4807941,1110,1500,0,1068.624,0,-3071.475603,47434.358,0,0,11200,36234.358,52367.71151,0,14143.29751,0,38224.414,66300,66300,0,0,0
Germany,2009,2511.462581,1128.480911,1330.485778,2.467765926,50.02812648,5491.729891,1485.923957,3817.194613,0,0,188.6113219,0,-2980.26731,85303.51798,12700,0,37882.80539,34720.7126,94696.98487,0,56759.84487,0,37937.14,159030,159030,0,0,0
Germany,2010,5269.700905,1654.928775,3560.858136,38.76192631,15.15206807,38302.57833,3852.371505,1400,32326,0,724.2068257,0,-33032.87742,266974.0456,12700,0,40032.80539,214241.2402,306157.2299,0,60107.49846,0,246049.7314,82801,58984,0,0,23817
Germany,2011,8997.480716,1548.174681,6756.447715,44.60850707,648.2498127,8501.902405,5955.287771,500,0,41.80661217,2004.808021,0,495.5783117,234135.6829,12700,0,26865.80539,194569.8776,291679.7916,0,50545.49214,0,241134.2994,61931,43550,0,0,18381
Germany,2012,8813.861274,772.426103,6889.813971,50.93936708,1100.681833,9984.937359,6381.545559,0,2100,14.94868669,1488.443113,0,-1171.076085,247965.3909,12700,0,23242.80539,212022.5855,294653.6362,0,51772.05454,0,242881.5817,50255,19050,0,0,31205
Germany,2013,7895.743064,1367.786659,5388.761373,259.4100751,879.7849568,6295.812462,4658.605813,0,0,0,1637.206649,0,1599.930602,208707.464,12700,0,21616.80539,174390.6586,248036.5489,0,56086.68812,0,191949.8608,36860,16800,0,0,20060
Germany,2014,7822.744537,951.391953,5009.191401,122.789789,1739.371394,7293.347834,4414.498825,0,0,1098.347724,1780.501285,0,529.3967031,195758.3877,5500,0,20041.80539,170216.5823,238095.4225,0,47566.70507,0,190528.7174,22174,10000,0,0,12174
Germany,2015,5195.007889,549.1745306,4148.372807,87.615924,409.8446268,5226.745556,3535.36368,0,353.608,8.59115836,1329.182717,0,-31.73766685,183607.8172,6730,0,17853.80539,159024.0118,223555.068,0,46889.79807,0,176665.27,22178,10000,0,0,12178
Germany,2016,4383.853434,354.1519773,3720.213124,59.427083,250.0612499,6646.93704,3227.83969,0,0,2268.71489,1150.38246,0,-2263.083605,180700.0907,4300,0,16553.80539,159846.2853,226057.5201,0,45949.86433,0,180107.6557,16461,7731,0,0,8730
Germany,2017,3913.468944,228.2604077,3301.070905,3.780896,380.3567351,5562.41766,2835.57618,0,0,1848.117066,878.7244146,0,-1648.948716,150616.4739,0,0,15553.80539,135062.6685,193304.044,0,43604.37,0,149699.674,10572,5883,0,0,4689
Germany,2018,3891.384029,278.8428316,3067.363166,7.764667,537.4133647,9722.261104,2782.162025,0,0,5883.659764,1056.439315,0,-5830.877075,133894.7618,0,0,14556.80539,119337.9564,183552.1698,0,49589.79178,0,133962.378,3320,0,0,0,3320
Germany,2019,3461.344167,13.20277,3216.30146,96.987024,134.8529132,5276.928263,3010.96571,1700,0,0.09843845,565.8641153,0,-1815.584096,134860.4209,0,0,14556.80539,120303.6155,185271.7587,0,52506.09241,0,132765.6663,2436,0,0,0,2436
Denmark,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,2008,6,0,6,0,0,1,1,0,0,0,0,0,5,4371,4370,0,1,0,4371,0,4371,4371,0,0,0,0,0,0
Denmark,2009,2174,7,2167,0,0,967,967,0,0,0,0,0,1207,74955,29000,45954,1,0,74955,0,74955,74955,0,53200,53200,0,0,0
Denmark,2010,6303,560,5743,0,0,2117,2117,0,0,0,0,0,4186,70455,24500,45954,1,0,70455,0,70455,70455,0,202508,193608,0,8900,0
Denmark,2011,11650,1594,5456,0,4600,12994,2356,2515,0,8123,0,0,-1344,57499,13900,43451,148,0,57499,0,57499,57499,0,166300,162000,0,4300,0
Denmark,2012,5714,1034,4680,0,0,1908,1574,334,0,0,0,0,3806,47610,13500,33500,610,0,47610,0,47610,47610,0,70669,66338,0,4331,0
Denmark,2013,4057,264,3793,0,0,1625,1425,200,0,0,0,0,2432,43768,12900,29895,973,0,43768,0,43768,43768,0,9477,5146,0,4331,0
Denmark,2014,1945,72,1873,0,0,1316,728,0,588,0,0,0,629,7599,5300,1327,972,0,8187,0,8187,8187,0,5157,826,0,4331,0
Denmark,2015,605,0,117,0,488,34,33,0,1,0,0,0,571,24421,0,979,972,22470,2540,0,2540,2540,0,0,0,0,0,0
Denmark,2016,237,0,101,0,136,28,28,0,0,0,0,0,209,22616,0,979,972,20665,2540,0,2540,2540,0,0,0,0,0,0
Denmark,2017,61,0,61,0,0,353,23,0,0,0,330,0,-292,21600,0,579,0,21021,1168,0,1168,1168,0,0,0,0,0,0
Denmark,2018,30,0,30,0,0,212,8,157,0,0,47,0,-182,21919,0,0,0,21919,589,0,589,589,0,0,0,0,0,0
Denmark,2019,8,0,0,0,8,0,0,0,0,0,0,0,8,21806,0,0,0,21806,589,0,589,589,0,0,0,0,0,0
Greece,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,-6,-6,12,1890,0,1890,0,0
Greece,2009,436,176,260,0,0,63,63,0,0,0,0,0,373,4143,3769,0,214,160,3956,0,3947,179,9,5617,1000,4617,0,0
Greece,2010,1049,625,424,0,0,89,89,0,0,0,0,0,960,4306,3769,0,142,395,3425,0,3407,-361,18,55834,47895,7939,0,0
Greece,2011,1137,732,405,0,0,504,109,395,0,0,0,0,633,5438,4474,0,485,479,5119,0,5081,490,38,67801,65093,2708,0,0
Greece,2012,4381,694,802,0,2885,9728,278,265,0,0,9185,0,-5347,31873,0,0,31269,604,36623,30729,4981,391,913,54111,51350,2761,0,0
Greece,2013,2227,621,447,3,1156,21673,418,14383,0,0,6872,0,-19446,30070,0,0,29535,535,44542,37235,4845,254,2462,51145,48721,2424,0,0
Greece,2014,532,474,55,3,0,396,396,0,0,0,0,0,136,17426,0,0,16778,648,41097,37235,2574,2574,1288,51110,43159,7951,0,0
Greece,2015,594,538,56,0,0,5436,277,3781,0,0,1378,0,-4842,11345,0,0,10727,618,44838,42679,2155,2155,4,44726,42555,2171,0,0
Greece,2016,533,195,4,334,0,182,182,0,0,0,0,0,351,7074,0,0,6352,722,42351,42679,-333,-333,5,3880,3880,0,0,0
Greece,2017,191,26,0,165,0,297,140,157,0,0,0,0,-106,6572,0,0,5838,734,42185,42679,-495,-495,1,380,380,0,0,0
Greece,2018,62,4,58,0,0,159,138,21,0,0,0,0,-97,4419,0,1050,2635,734,42102,42679,-577,-577,0,350,350,0,0,0
Greece,2019,237,4,68,165,0,123,123,0,0,0,0,0,114,6376,0,1051,4591,734,41866,42679,-813,-813,0,320,320,0,0,0
Spain,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2008,9,0,9,0,0,21,21,0,0,0,0,0,-12,9337,0,9337,0,0,9349,0,9349,9349,0,0,0,0,0,0
Spain,2009,901,268,633,0,0,205,202,0,0,0,3,0,696,19335,0,19335,0,0,18651,0,18651,18651,0,49008,49008,0,0,0
Spain,2010,1317,512,805,0,0,545.4,148.4,0,0,0,397,0,771.6,25918,0,17221,8697,0,24462,0,24462,24462,0,59506,59506,0,0,0
Spain,2011,1927,599,1328,0,0,5442,297,5136,0,0,9,0,-3515,19200,3906,6000,9294,0,21260,0,21260,21260,0,64659,64659,0,0,0
Spain,2012,1295,910,385,0,0,39584,489,39068,0,0,27,0,-38289,9824,0,1272,8552,0,50173,39468,10705,10705,0,105093,68399,0,36694,0
Spain,2013,1871,533,1192,145,1,5148,1544,3019,494,1,90,0,-3277,4880,0,1652,3228,0,50607,41333,9274,9274,0,95604,46607,0,48997,0
Spain,2014,1113,227,832,54,0,2463,794,525,634,517,-7,0,-1350,11329,0,1652,9677,0,49767,39721,10046,10046,0,55090,8662,0,46428,0
Spain,2015,716,21,566,129,0,1268,456,0,428,334,50,0,-552,10419,0,1652,8767,0,50319,35721,14598,14598,0,46385,2888,0,43497,0
Spain,2016,477,0,282,195,0,2866,258,996,1514,64,34,-13,-2389,8665,0,656,8009,0,51529,34721,16808,16808,0,42656,1059,0,41597,0
Spain,2017,318,0,96,211,11,827,140,0,509,140,38,-3,-509,8037,0,656,7381,0,50996,31721,19275,19275,0,39368.5,0,0,39368.5,0
Spain,2018,245,0,37,208,0,315,114,0,109,63,29,-2,-70,5919,0,656,5263,0,51066,23721,27345,27345,0,36435,0,0,36435,0
Spain,2019,233,0,5,219,9,253,99,0,46,94,14,-5,-20,4680,0,656,4024,0,51086,23721,27365,27365,0,35409,0,0,35409,0
Finland,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,0,0,0
Finland,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2008,70,23,47,0,0,22,22,0,0,0,0,0,48,23955,13000,10500,323,132,24584,450,24087,-23,47,26210.715,26210.715,0,0,0
France,2009,3147,475,2468,204,0,1946.78817,1784.78817,0,0,0,162,0,1200.21183,87404,77264,3300,3451,3389,86704.78817,450,84427.78817,-498.21183,1827,22846.52499,22846.52499,0,0,0
France,2010,2937,602,2046,289,0,2299.806462,1935.806462,0,0,0,364,0,637.1935378,74618,69405,1000,1463,2750,73470.59463,122,72477.59463,-1103.405368,871,21004.04569,21004.04569,0,0,0
France,2011,2090,463,1503,124,0,1477.40321,1477.40321,0,0,0,0,0,612.5967904,54124,53472,0,0,652,52626.99784,122,51893.99784,-1578.002158,611,16763,16763,0,0,0
France,2012,1384,462,922,0,0,3483.412076,919.4120765,2585,0,0,-21,0,-2099.412076,24127,23723,0,0,404,24729.40992,122,24265.40992,542.4099182,342,26889.25566,26889.25566,0,0,0
France,2013,1157,415,742,0,0,742.7431016,742.7431016,0,0,0,0,0,414.2568984,23759,23356,0,0,403,23943.15302,78,23484.15302,128.1530198,381,45509.28034,45509.28034,0,0,0
France,2014,117,117,0,0,0,0.092270174,0.092270174,0,0,0,0,0,116.9077298,22,0,0,0,22,89.24528998,78,11.24528998,11.24528998,0,47296.69458,47296.69458,0,0,0
France,2015,255,255,0,0,0,-0.022940392,-0.022940392,0,0,0,0,0,255.0229404,22,0,0,0,22,-165.7776504,78,-243.7776504,-243.7776504,0,40211.85563,40211.85563,0,0,0
France,2016,227,227,0,0,0,1.338339301,1.338339301,0,0,0,0,0,225.6616607,22,0,0,0,22,-391.4393111,78,-469.4393111,-469.4393111,0,44171.99622,44171.99622,0,0,0
France,2017,198,198,0,0,0,2.811941474,2.811941474,0,0,0,0,0,195.1880585,22,0,0,0,22,-586.6273696,78,-664.6273696,-664.6273696,0,37571.484,37571.484,0,0,0
France,2018,138.59,138.59,0,0,0,3.888070112,3.888070112,0,0,0,0,0,134.7019299,22,0,0,0,22,-721.3292995,78,-799.3292995,-799.3292995,0,35032.75171,35032.75171,0,0,0
France,2019,107.838,107.838,0,0,0,4.843935555,4.843935555,0,0,0,0,0,102.9940644,22,0,0,0,22,-824.323364,78,-902.323364,-902.323364,0,32667,32667,0,0,0
Croatia,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2010,0,0,0,0,0,449.998896,0,449.998896,0,0,0,0,-449.998896,510.8190194,0,0,510.8190194,0,450,0,450,450,0,0,0,0,0,0
Croatia,2011,0,0,0,0,0,21.93607219,21.93607219,0,0,0,0,0,-21.93607219,480.40768,0,0,480.40768,0,471.9360722,0,471.9360722,471.9360722,0,0,0,0,0,0
Croatia,2012,0,0,0,0,0,221.9974432,21.99744318,200,0,0,0,0,-221.9974432,306.6432,0,0,306.6432,0,693.9335154,0,693.9335154,693.9335154,0,0,0,0,0,0
Croatia,2013,0,0,0,0,0,29.94994188,29.94994188,0,0,0,0,0,-29.94994188,306.6432,0,0,306.6432,0,723.8834573,0,723.8834573,723.8834573,0,0,0,0,0,0
Croatia,2014,0,0,0,0,0,30.6866303,30.6866303,0,0,0,0,0,-30.6866303,171.2193414,0,0,171.2193414,0,754.5700876,0,754.5700876,754.5700876,0,0,0,0,0,0
Croatia,2015,0,0,0,0,0,532.2838672,36.08096722,496.2029,0,0,0,0,-532.2838672,570.5888,0,0,570.5888,0,1286.853955,0,1286.853955,1286.853955,0,0,0,0,0,0
Croatia,2016,0,0,0,0,0,35.04981055,35.04981055,0,0,0,0,0,-35.04981055,669.550295,0,0,669.550295,0,1321.903765,0,1321.903765,1321.903765,0,0,0,0,0,0
Croatia,2017,0,0,0,0,0,31.80173889,31.80173889,0,0,0,0,0,-31.80173889,451.12177,0,0,451.12177,0,1353.705504,0,1353.705504,1353.705504,0,0,0,0,0,0
Croatia,2018,0,0,0,0,0,28.62879398,28.62879398,0,0,0,0,0,-28.62879398,401.19525,0,0,401.19525,0,1382.334298,0,1382.334298,1382.334298,0,0,0,0,0,0
Croatia,2019,0,0,0,0,0,27.09177538,27.09177538,0,0,0,0,0,-27.09177538,534.927,0,0,534.927,0,1409.426074,0,1409.426074,1409.426074,0,0,0,0,0,0
